stage_index,head,gap_index,gap,survivor
11,37,85,12,521
11,37,86,2,523
11,37,87,18,541
11,37,88,6,547
11,37,89,10,557
11,37,90,6,563
11,37,91,6,569
11,37,92,2,571
11,37,93,6,577
11,37,94,10,587
11,37,95,6,593
11,37,96,6,599
11,37,97,2,601
11,37,98,6,607
11,37,99,6,613
12,41,0,2,43
12,41,1,4,47
12,41,2,6,53
12,41,3,6,59
12,41,4,2,61
12,41,5,6,67
12,41,6,4,71
12,41,7,2,73
12,41,8,6,79
12,41,9,4,83
12,41,10,6,89
12,41,11,8,97
12,41,12,4,101
12,41,13,2,103
12,41,14,4,107
12,41,15,2,109
12,41,16,4,113
12,41,17,14,127
12,41,18,4,131
12,41,19,6,137
12,41,20,2,139
12,41,21,10,149
12,41,22,2,151
12,41,23,6,157
12,41,24,6,163
12,41,25,4,167
12,41,26,6,173
12,41,27,6,179
12,41,28,2,181
12,41,29,10,191
12,41,30,2,193
12,41,31,4,197
12,41,32,2,199
12,41,33,12,211
12,41,34,12,223
12,41,35,4,227
12,41,36,2,229
12,41,37,4,233
12,41,38,6,239
12,41,39,2,241
12,41,40,10,251
12,41,41,6,257
12,41,42,6,263
12,41,43,6,269
12,41,44,2,271
12,41,45,6,277
12,41,46,4,281
12,41,47,2,283
12,41,48,10,293
12,41,49,14,307
12,41,50,4,311
12,41,51,2,313
12,41,52,4,317
12,41,53,14,331
12,41,54,6,337
12,41,55,10,347
12,41,56,2,349
12,41,57,4,353
12,41,58,6,359
12,41,59,8,367
12,41,60,6,373
12,41,61,6,379
12,41,62,4,383
12,41,63,6,389
12,41,64,8,397
12,41,65,4,401
12,41,66,8,409
12,41,67,10,419
12,41,68,2,421
12,41,69,10,431
12,41,70,2,433
12,41,71,6,439
12,41,72,4,443
12,41,73,6,449
12,41,74,8,457
12,41,75,4,461
12,41,76,2,463
12,41,77,4,467
12,41,78,12,479
12,41,79,8,487
12,41,80,4,491
12,41,81,8,499
12,41,82,4,503
12,41,83,6,509
12,41,84,12,521
12,41,85,2,523
12,41,86,18,541
12,41,87,6,547
12,41,88,10,557
12,41,89,6,563
12,41,90,6,569
12,41,91,2,571
12,41,92,6,577
12,41,93,10,587
12,41,94,6,593
12,41,95,6,599
12,41,96,2,601
12,41,97,6,607
12,41,98,6,613
12,41,99,4,617
13,43,0,4,47
13,43,1,6,53
13,43,2,6,59
13,43,3,2,61
13,43,4,6,67
13,43,5,4,71
13,43,6,2,73
13,43,7,6,79
13,43,8,4,83
13,43,9,6,89
13,43,10,8,97
13,43,11,4,101
13,43,12,2,103
13,43,13,4,107
13,43,14,2,109
13,43,15,4,113
13,43,16,14,127
13,43,17,4,131
13,43,18,6,137
13,43,19,2,139
13,43,20,10,149
13,43,21,2,151
13,43,22,6,157
13,43,23,6,163
13,43,24,4,167
13,43,25,6,173
13,43,26,6,179
13,43,27,2,181
13,43,28,10,191
13,43,29,2,193
13,43,30,4,197
13,43,31,2,199
13,43,32,12,211
13,43,33,12,223
13,43,34,4,227
13,43,35,2,229
13,43,36,4,233
13,43,37,6,239
13,43,38,2,241
13,43,39,10,251
13,43,40,6,257
13,43,41,6,263
13,43,42,6,269
13,43,43,2,271
13,43,44,6,277
13,43,45,4,281
13,43,46,2,283
13,43,47,10,293
13,43,48,14,307
13,43,49,4,311
13,43,50,2,313
13,43,51,4,317
13,43,52,14,331
13,43,53,6,337
13,43,54,10,347
13,43,55,2,349
13,43,56,4,353
13,43,57,6,359
13,43,58,8,367
13,43,59,6,373
13,43,60,6,379
13,43,61,4,383
13,43,62,6,389
13,43,63,8,397
13,43,64,4,401
13,43,65,8,409
13,43,66,10,419
13,43,67,2,421
13,43,68,10,431
13,43,69,2,433
13,43,70,6,439
13,43,71,4,443
13,43,72,6,449
13,43,73,8,457
13,43,74,4,461
13,43,75,2,463
13,43,76,4,467
13,43,77,12,479
13,43,78,8,487
13,43,79,4,491
13,43,80,8,499
13,43,81,4,503
13,43,82,6,509
13,43,83,12,521
13,43,84,2,523
13,43,85,18,541
13,43,86,6,547
13,43,87,10,557
13,43,88,6,563
13,43,89,6,569
13,43,90,2,571
13,43,91,6,577
13,43,92,10,587
13,43,93,6,593
13,43,94,6,599
13,43,95,2,601
13,43,96,6,607
13,43,97,6,613
13,43,98,4,617
13,43,99,2,619
14,47,0,6,53
14,47,1,6,59
14,47,2,2,61
14,47,3,6,67
14,47,4,4,71
14,47,5,2,73
14,47,6,6,79
14,47,7,4,83
14,47,8,6,89
14,47,9,8,97
14,47,10,4,101
14,47,11,2,103
14,47,12,4,107
14,47,13,2,109
14,47,14,4,113
14,47,15,14,127
14,47,16,4,131
14,47,17,6,137
14,47,18,2,139
14,47,19,10,149
14,47,20,2,151
14,47,21,6,157
14,47,22,6,163
14,47,23,4,167
14,47,24,6,173
14,47,25,6,179
14,47,26,2,181
14,47,27,10,191
14,47,28,2,193
14,47,29,4,197
14,47,30,2,199
14,47,31,12,211
14,47,32,12,223
14,47,33,4,227
14,47,34,2,229
14,47,35,4,233
14,47,36,6,239
14,47,37,2,241
14,47,38,10,251
14,47,39,6,257
14,47,40,6,263
14,47,41,6,269
14,47,42,2,271
14,47,43,6,277
14,47,44,4,281
14,47,45,2,283
14,47,46,10,293
14,47,47,14,307
14,47,48,4,311
14,47,49,2,313
14,47,50,4,317
14,47,51,14,331
14,47,52,6,337
14,47,53,10,347
14,47,54,2,349
14,47,55,4,353
14,47,56,6,359
14,47,57,8,367
14,47,58,6,373
14,47,59,6,379
14,47,60,4,383
14,47,61,6,389
14,47,62,8,397
14,47,63,4,401
14,47,64,8,409
14,47,65,10,419
14,47,66,2,421
14,47,67,10,431
14,47,68,2,433
